year,name,rank,countrycode,networthusbillion,typeofwealth,gender,age,industry,companytype,relationshiptocompany
2014,Bernard Broermann,609,DEU,2.8,founder non-finance,male,70,Technology-Medical,new,founder
2001,Bernard Ecclestone,182,GBR,2.5,executive,male,70,Other,aquired,investor and  CEO
2014,Bernard Ecclestone,354,GBR,4.2,executive,male,83,Other,aquired,investor and  CEO
2001,Bernard Marcus,130,USA,3.3,founder non-finance,male,71,"Retail, Restaurant",new,founder
2014,Bernard Marcus,446,USA,3.5,founder non-finance,male,84,"Retail, Restaurant",new,founder
2014,"Bernard Saul, II.",764,USA,2.3,inherited,male,81,Money Management,new,relation
2001,Bernard Sherman,209,CAN,2.2,inherited,male,59,Technology-Medical,new,relation
1996,Bernardo Garza Sada,266,MEX,1.5,inherited,male,0,Diversified financial,new,relation
2014,Bernardo Matte,687,CHL,2.5,inherited,male,58,Consumer,new,relation
2014,Bernd Freier,687,DEU,2.5,founder non-finance,male,57,"Retail, Restaurant",new,founder
2014,Bertil Hult,375,SWE,4,founder non-finance,male,73,Other,new,founder
2014,Bharat Desai,731,USA,2.4,founder non-finance,male,61,"Retail, Restaurant",new,founder
2014,Bidzina Ivanishvili,270,GEO,5.2,privatized and resources,male,58,Diversified financial,new,founder
2014,Bill Adderley,1036,GBR,1.8,founder non-finance,male,66,Consumer,new,founder
1996,Bill Gates,1,USA,18.5,founder non-finance,male,40,Technology-Computer,new,founder
2001,Bill Gates,1,USA,58.7,founder non-finance,male,45,Technology-Computer,new,founder
2014,Bill Gates,1,USA,76,founder non-finance,male,58,Technology-Computer,new,founder
2014,Bill Gross,764,USA,2.3,self-made finance,male,69,Diversified financial,new,founder
2014,"Bill Marriott, Jr.",796,USA,2.2,inherited,male,81,Real Estate,new,relation
2014,Billy Joe (Red) McCombs,1210,USA,1.4,self-made finance,male,86,Real Estate,new,founder
2001,Billy Joe McCombs,336,USA,1.5,self-made finance,male,73,Real Estate,new,founder
2014,Binod Chaudhary,1465,NPL,1.1,self-made finance,male,58,Diversified financial,new,relation
2014,Blair Parry-Okeden,168,USA,7.7,inherited,female,63,Media,aquired,relation
2001,Blase Golisano,272,USA,1.8,founder non-finance,male,59,"Retail, Restaurant",new,founder
2014,Bob Parsons,931,USA,1.9,founder non-finance,male,63,Technology-Computer,new,founder
1996,Boehringer family,51,DEU,4.1,inherited,,0,Technology-Medical,new,relation
1996,Boonchai Bencharongkul,236,THA,1.7,executive,male,0,Media,new,chairman
1996,Boonsong Asavabhokhin,408,THA,1,,male,0,Real Estate,,,,,,,,,,,,,,
2014,Boris Mints,1565,RUS,1,self-made finance,male,55,Real Estate,new,owner
2014,Boris Rotenberg,1046,RUS,1.7,privatized and resources,male,57,Constrution,"new, privitization",owner
2014,Brad Kelley,869,USA,2,founder non-finance,male,57,Consumer,new,founder
2001,Bradley Hughes,387,USA,1.3,founder non-finance,male,67,"Retail, Restaurant",new,founder
1996,Brenninkmeijer family,63,NLD,3.8,inherited,,0,"Retail, Restaurant",new,relation
2014,Brian Acton,551,USA,3,founder non-finance,male,42,Technology-Computer,new,founder
2014,Brian Higgins,1565,USA,1,self-made finance,male,49,Hedge funds,new,founder
2001,Brian Roberts,421,USA,1.2,inherited,male,,Media,new,relation
2014,Brian Roberts,1372,USA,1.2,inherited,male,54,Media,new,relation
2014,Brij Bhushan Singal,1442,IND,1.2,privatized and resources,male,77,Non-consumer industrial,new,founder
2014,Brijmohan Lall Munjal,731,IND,2.4,founder non-finance,male,90,Consumer,new,founder
2014,Bruce Cheng,1284,Taiwan,1.3,founder non-finance,male,78,Technology-Computer,new,founder
